Time;Speed;Voltage;Current;Distance;Altitude;Date;SpeedGPS;Latitude;Longitude;AccuracyPosition;BatteryPercentage;WrongCRCs;AssistLevel;OffRoadMode;ErrorCode;DisplayTemp;MotorTemp;
09:40:24.394;21.92;51.44;0.50;1.43;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:24.603;21.92;51.51;0.50;1.44;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:24.903;21.92;51.51;0.50;1.44;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:25.113;21.92;51.44;0.50;1.44;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:25.383;21.92;51.44;0.50;1.44;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:25.653;21.79;51.51;0.00;1.44;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:25.833;21.79;51.08;0.50;1.44;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:25.984;21.67;51.51;0.50;1.44;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:26.195;21.67;51.44;0.50;1.44;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:26.494;21.67;51.51;0.50;1.45;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:26.764;21.67;51.51;0.50;1.45;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;26;255;
09:40:27.034;21.54;51.44;0.00;1.45;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:27.184;21.54;51.36;1.00;1.45;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:27.453;21.54;51.44;0.50;1.45;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
